trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
14_WKDY_IB_0800,08:00:00,08:00:00,STP_24TH,1,0.0
14_WKDY_IB_0800,08:07:00,08:07:00,STP_16TH,2,1.4
14_WKDY_IB_0800,08:15:00,08:15:00,STP_8TH,3,3.1
14_WKDY_IB_0810,08:10:00,08:10:00,STP_24TH,1,0.0
14_WKDY_IB_0810,08:17:00,08:17:00,STP_16TH,2,1.4
14_WKDY_IB_0810,08:25:00,08:25:00,STP_8TH,3,3.1
14_WKDY_IB_0825,08:25:00,08:25:00,STP_24TH,1,0.0
14_WKDY_IB_0825,08:32:00,08:32:00,STP_16TH,2,1.4
14_WKDY_IB_0825,08:40:00,08:40:00,STP_8TH,3,3.1
14_WKDY_OB_0900,09:00:00,09:00:00,STP_8TH,1,0.0
14_WKDY_OB_0900,09:07:00,09:07:00,STP_16TH,2,1.7
14_WKDY_OB_0900,09:14:00,09:14:00,STP_24TH,3,3.1
14_WKDY_OB_0912,09:12:00,09:12:00,STP_8TH,1,0.0
14_WKDY_OB_0912,09:19:00,09:19:00,STP_16TH,2,1.7
14_WKDY_OB_0912,09:26:00,09:26:00,STP_24TH,3,3.1
14_WKDY_OB_0924,09:24:00,09:24:00,STP_8TH,1,0.0
14_WKDY_OB_0924,09:31:00,09:31:00,STP_16TH,2,1.7
14_WKDY_OB_0924,09:38:00,09:38:00,STP_24TH,3,3.1
49_WKDY_NB_0700,07:00:00,07:00:00,STP_49_30TH,1,0.0
49_WKDY_NB_0700,07:06:00,07:06:00,STP_49_CIVIC,2,2.8
49_WKDY_NB_0700,07:14:00,07:14:00,STP_49_NORTH,3,5.4
49_WKDY_NB_0712,07:12:00,07:12:00,STP_49_30TH,1,0.0
49_WKDY_NB_0712,07:18:00,07:18:00,STP_49_CIVIC,2,2.8
49_WKDY_NB_0712,07:26:00,07:26:00,STP_49_NORTH,3,5.4
49_WKDY_NB_0724,07:24:00,07:24:00,STP_49_30TH,1,0.0
49_WKDY_NB_0724,07:30:00,07:30:00,STP_49_CIVIC,2,2.8
49_WKDY_NB_0724,07:38:00,07:38:00,STP_49_NORTH,3,5.4
