service_date,trip_id,stop_id,stop_sequence,observed_arrival_time
2026-05-01,14_WKDY_IB_0800,STP_24TH,1,2026-05-01T08:01:00-07:00
2026-05-01,14_WKDY_IB_0800,STP_16TH,2,2026-05-01T08:08:00-07:00
2026-05-01,14_WKDY_IB_0800,STP_8TH,3,2026-05-01T08:17:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_24TH,1,2026-05-01T08:12:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_16TH,2,2026-05-01T08:20:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_8TH,3,2026-05-01T08:31:00-07:00
2026-05-01,14_WKDY_IB_0825,STP_24TH,1,2026-05-01T08:27:00-07:00
2026-05-01,14_WKDY_IB_0825,STP_16TH,2,2026-05-01T08:34:00-07:00
2026-05-01,14_WKDY_IB_0825,STP_8TH,3,2026-05-01T08:43:00-07:00
2026-05-01,14_WKDY_OB_0900,STP_8TH,1,2026-05-01T09:00:00-07:00
2026-05-01,14_WKDY_OB_0900,STP_16TH,2,2026-05-01T09:08:00-07:00
2026-05-01,14_WKDY_OB_0900,STP_24TH,3,2026-05-01T09:14:00-07:00
2026-05-01,14_WKDY_OB_0912,STP_8TH,1,2026-05-01T09:18:00-07:00
2026-05-01,14_WKDY_OB_0912,STP_16TH,2,2026-05-01T09:26:00-07:00
2026-05-01,14_WKDY_OB_0912,STP_24TH,3,2026-05-01T09:36:00-07:00
2026-05-01,14_WKDY_OB_0924,STP_8TH,1,2026-05-01T09:27:00-07:00
2026-05-01,14_WKDY_OB_0924,STP_16TH,2,2026-05-01T09:34:00-07:00
2026-05-01,14_WKDY_OB_0924,STP_24TH,3,2026-05-01T09:43:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_WRONG,2,2026-05-01T08:20:30-07:00
2026-05-01,UNKNOWN_TRIP,STP_24TH,1,2026-05-01T08:55:00-07:00
2026-05-01,49_WKDY_NB_0700,STP_49_30TH,1,2026-05-01T07:01:00-07:00
2026-05-01,49_WKDY_NB_0700,STP_49_CIVIC,2,2026-05-01T07:07:00-07:00
2026-05-01,49_WKDY_NB_0700,STP_49_NORTH,3,2026-05-01T07:15:00-07:00
2026-05-01,49_WKDY_NB_0712,STP_49_30TH,1,2026-05-01T07:14:00-07:00
2026-05-01,49_WKDY_NB_0712,STP_49_CIVIC,2,2026-05-01T07:20:00-07:00
2026-05-01,49_WKDY_NB_0712,STP_49_NORTH,3,2026-05-01T07:29:00-07:00
2026-05-01,49_WKDY_NB_0724,STP_49_30TH,1,2026-05-01T07:25:00-07:00
2026-05-01,49_WKDY_NB_0724,STP_49_CIVIC,2,2026-05-01T07:31:00-07:00
2026-05-01,49_WKDY_NB_0724,STP_49_NORTH,3,2026-05-01T07:40:00-07:00
