service_date,trip_id,stop_id,stop_sequence,observed_arrival_time
2026-05-01,14_WKDY_IB_0800,STP_24TH,1,2026-05-01T08:01:00-07:00
2026-05-01,14_WKDY_IB_0800,STP_16TH,2,2026-05-01T08:08:00-07:00
2026-05-01,14_WKDY_IB_0800,STP_8TH,3,2026-05-01T08:17:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_24TH,1,2026-05-01T08:12:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_16TH,2,2026-05-01T08:20:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_8TH,3,2026-05-01T08:31:00-07:00
2026-05-01,14_WKDY_IB_0825,STP_24TH,1,2026-05-01T08:27:00-07:00
2026-05-01,14_WKDY_IB_0825,STP_16TH,2,2026-05-01T08:34:00-07:00
2026-05-01,14_WKDY_IB_0825,STP_8TH,3,2026-05-01T08:43:00-07:00
2026-05-01,14_WKDY_OB_0900,STP_8TH,1,2026-05-01T09:00:00-07:00
2026-05-01,14_WKDY_OB_0900,STP_16TH,2,2026-05-01T09:08:00-07:00
2026-05-01,14_WKDY_OB_0900,STP_24TH,3,2026-05-01T09:14:00-07:00
2026-05-01,14_WKDY_OB_0912,STP_8TH,1,2026-05-01T09:18:00-07:00
2026-05-01,14_WKDY_OB_0912,STP_16TH,2,2026-05-01T09:26:00-07:00
2026-05-01,14_WKDY_OB_0912,STP_24TH,3,2026-05-01T09:36:00-07:00
2026-05-01,14_WKDY_OB_0924,STP_8TH,1,2026-05-01T09:27:00-07:00
2026-05-01,14_WKDY_OB_0924,STP_16TH,2,2026-05-01T09:34:00-07:00
2026-05-01,14_WKDY_OB_0924,STP_24TH,3,2026-05-01T09:43:00-07:00
2026-05-01,14_WKDY_IB_0810,STP_WRONG,2,2026-05-01T08:20:30-07:00
2026-05-01,UNKNOWN_TRIP,STP_24TH,1,2026-05-01T08:55:00-07:00
